customer_id,recencia,frequencia,monetario,r_score,f_score,m_score,rfm_score,segmento
12346.0,266,12,77556.46,2,3,3,8,Ocasionais
12608.0,345,1,415.79,1,1,1,3,Dormentes
12745.0,427,2,723.85,1,1,2,4,Dormentes
12746.0,481,1,254.55,1,1,1,3,Dormentes
12747.0,7,24,8147.25,3,3,3,9,Recorrentes
12748.0,1,273,40447.33,3,3,3,9,Recorrentes
12749.0,71,7,5561.71,2,3,3,8,Ocasionais
12777.0,398,1,519.45,1,1,2,4,Dormentes
12819.0,399,1,540.52,1,1,2,4,Dormentes
12820.0,15,9,2135.41,3,3,3,9,Recorrentes
12821.0,155,2,220.8,2,1,1,4,Ocasionais
12822.0,11,2,948.88,3,1,2,6,Ocasionais
12823.0,15,18,6501.5,3,3,3,9,Recorrentes
12825.0,462,2,518.63,1,1,2,4,Dormentes
12826.0,12,10,2378.65,3,3,3,9,Recorrentes
12828.0,6,4,661.31,3,2,2,7,Recorrentes
12829.0,277,3,385.3,2,2,1,5,Ocasionais
12830.0,32,5,6414.32,3,2,3,8,Recorrentes
12831.0,203,3,451.11,2,2,2,6,Ocasionais
12832.0,39,1,267.8,3,1,1,5,Ocasionais
12833.0,86,1,417.38,2,1,1,4,Ocasionais
12834.0,223,1,312.38,2,1,1,4,Ocasionais
12835.0,368,41,5996.83,1,3,3,7,Dormentes
12836.0,78,14,6061.900000000001,2,3,3,8,Ocasionais
12837.0,114,2,662.66,2,1,2,5,Ocasionais
12838.0,314,9,2694.75,1,3,3,7,Dormentes
12839.0,12,22,7453.75,3,3,3,9,Recorrentes
12840.0,84,7,4041.9700000000003,2,3,3,8,Ocasionais
12841.0,6,34,6204.01,3,3,3,9,Recorrentes
12842.0,11,4,1917.99,3,2,3,8,Recorrentes
12843.0,6,30,6583.36,3,3,3,9,Recorrentes
12844.0,71,3,497.52,2,2,2,6,Ocasionais
12845.0,208,4,354.09000000000003,2,2,1,5,Ocasionais
12846.0,623,1,15.58,1,1,1,3,Dormentes
12847.0,328,1,765.36,1,1,2,4,Dormentes
